s3 sinclair_n_corp | self_destructive_purge | agg: 19.63~30.99 | dmg: 24~90 @ 40
s2 ishmael_l_corp | its_churning | agg: 5.18~12.21 | dmg: 10~22 @ 33
s2 meursault_rosespanner | forced_break | agg: 5.18~12.21 | dmg: 10~22 @ 33
s2 outis_lcb | backslash | agg: 5.18~12.21 | dmg: 8~20 @ 38
s3 yi_sang_blade | flank_thrust | agg: 9.47~12.06 | dmg: 24~30 @ 41
s3 rodion_n_corp | ironclad_retribution | agg: 5.25~12.03 | dmg: 16~36 @ 37
s2 hong_lu_kurokumo | cloud_cutter | agg: 4.98~12.01 | dmg: 10~22 @ 32
s1 ishmael_r_corp | mind_strike | agg: 3.13~11.91 | dmg: 6~21 @ 32
s1 yi_sang_blade | strikers_stance | agg: 6.5~11.9 | dmg: 5~11 @ 41
s3 gregor_lcb | chop_up | agg: 4.78~11.81 | dmg: 10~22 @ 31
s2 ryoshu_lcb | splatter | agg: 4.78~11.81 | dmg: 8~20 @ 36
s2 ishmael_lcb | slide | agg: 4.6~11.8 | dmg: 5~13 @ 31
s3 don_quixote_lcb | for_justice | agg: 4.02~11.77 | dmg: 9~27 @ 36
s2 rodion_kurokumo | scattering_slash | agg: 6.44~11.71 | dmg: 12~21 @ 35
s2 faust_w_corp | leap | agg: 4.38~11.41 | dmg: 10~22 @ 29
s2 heathcliff_sunshower | puddle_stomp | agg: 8.56~11.4 | dmg: 12~40 @ 42
s2 ishmael_clearance | quake_rounds | agg: 3.62~11.37 | dmg: 12~30 @ 29
s3 sinclair_lcb | ravaging_cut | agg: 6.15~11.31 | dmg: 15~27 @ 38
s1 don_quixote_w_corp | rip | agg: 5.9~11.3 | dmg: 5~11 @ 38
s1 hong_lu_tingtang | throat_slit | agg: 5.9~11.3 | dmg: 5~11 @ 38
s1 ryoshu_kurokumo | focus_strike | agg: 5.9~11.3 | dmg: 5~11 @ 38
s3 meursault_rosespanner | finishing_runup | agg: 4.45~11.23 | dmg: 16~36 @ 33
s2 heathcliff_lcb | smackdown | agg: 4.18~11.21 | dmg: 8~20 @ 33
s2 rodion_lcb | axe_combo | agg: 4.18~11.21 | dmg: 8~20 @ 33
s1 outis_seven | predictive_analysis | agg: 7.6~11.2 | dmg: 8~12 @ 32
s3 hong_lu_kurokumo | cloudburst | agg: 5.95~11.11 | dmg: 18~30 @ 32
s2 meursault_n_corp | you_are_cleansed_of_sin | agg: 5.84~11.11 | dmg: 12~21 @ 32
s1 rodion_n_corp | devoted_hammering | agg: 3.98~11.01 | dmg: 6~18 @ 37
s1 heathcliff_r_corp | graze_the_grass | agg: 5.75~10.91 | dmg: 12~24 @ 41
s3 ryoshu_lcb | brushstroke | agg: 5.75~10.91 | dmg: 15~27 @ 36
s1 gregor_g_corp | hack | agg: 5.64~10.91 | dmg: 8~17 @ 41
s1 hong_lu_k_corp | impede_the_intruder | agg: 5.5~10.9 | dmg: 5~11 @ 36
s1 gregor_rosespanner | rev_up | agg: 3.78~10.81 | dmg: 6~18 @ 36
s2 meursault_lcb | nailing_fist | agg: 3.6~10.8 | dmg: 5~13 @ 26
s1 rodion_clearance | bludgeon | agg: 5.3~10.7 | dmg: 4~10 @ 40
s1 rodion_kurokumo | sharpened_blade | agg: 5.3~10.7 | dmg: 5~11 @ 35
s1 ryoshu_seven | slash | agg: 5.3~10.7 | dmg: 4~10 @ 40
s3 faust_w_corp | overcharge | agg: 5.35~10.51 | dmg: 18~30 @ 29
s1 faust_n_corp | cackle | agg: 5.24~10.51 | dmg: 8~17 @ 39
s1 ishmael_liu | red_kick | agg: 5.24~10.51 | dmg: 8~17 @ 39
s3 ishmael_clearance | suppress | agg: 3.65~10.43 | dmg: 16~36 @ 29
s1 don_quixote_n_corp | rightful_purge | agg: 3.38~10.41 | dmg: 6~18 @ 34
s1 ishmael_shi | flying_sword | agg: 3.38~10.41 | dmg: 6~18 @ 34
s1 meursault_liu | assault | agg: 3.38~10.41 | dmg: 6~18 @ 34
s2 sinclair_lcb | halberd_combo | agg: 5.15~10.31 | dmg: 12~24 @ 38
s1 rodion_rosespanner | rev_up | agg: 5.04~10.31 | dmg: 8~17 @ 38
s1 ryoshu_chef | cooking_prep | agg: 5.04~10.31 | dmg: 8~17 @ 38
s1 sinclair_lcb | downward_swing | agg: 3.95~10.25 | dmg: 3~10 @ 38
s2 faust_lcb | upward_slash | agg: 3.18~10.21 | dmg: 8~20 @ 28
s1 heathcliff_n_corp | gawky_nailing | agg: 3.18~10.21 | dmg: 6~18 @ 33
s1 hong_lu_liu | warm_up | agg: 3.18~10.21 | dmg: 6~18 @ 33
s2 yi_sang_lcb | end_stop_stab | agg: 3.18~10.21 | dmg: 8~20 @ 28
s2 rodion_n_corp | zealous_purge | agg: 6.69~10.2 | dmg: 12~18 @ 37
s1 yi_sang_spicebush | sprouting_bud | agg: 4.95~10.11 | dmg: 9~21 @ 42
s2 yi_sang_blade | heel_turn | agg: 8.35~10.1 | dmg: 14~17 @ 41
s1 don_quixote_shi | catch_breath | agg: 4.7~10.1 | dmg: 4~10 @ 37
s1 don_quixote_lcb | joust | agg: 3.55~9.85 | dmg: 3~10 @ 36
s1 hong_lu_lcb | downward_cleave | agg: 3.55~9.85 | dmg: 3~10 @ 36
s1 ryoshu_lcb | paint | agg: 3.55~9.85 | dmg: 3~10 @ 36
s2 meursault_w_corp | energy_cycle | agg: 4.55~9.71 | dmg: 15~27 @ 30
s1 meursault_w_corp | rip | agg: 4.3~9.7 | dmg: 5~11 @ 30
s2 meursault_liu | stalwart_stance | agg: 6.09~9.6 | dmg: 12~18 @ 34
s1 heathcliff_shi | extreme_edge | agg: 4.1~9.5 | dmg: 4~10 @ 34
s1 outis_blade | draw_of_the_sword | agg: 4.1~9.5 | dmg: 4~10 @ 34
s2 hong_lu_liu | flowing_flame | agg: 5.89~9.4 | dmg: 12~18 @ 33
s1 outis_lcb | pulled_blade | agg: 4.15~9.31 | dmg: 9~21 @ 38
s1 ishmael_l_corp | its_heavy | agg: 3.9~9.3 | dmg: 4~10 @ 33
s1 meursault_rosespanner | saddled_tasks | agg: 3.9~9.3 | dmg: 4~10 @ 33
s1 heathcliff_lcb | bat_bash | agg: 2.95~9.25 | dmg: 3~10 @ 33
s1 rodion_lcb | strike_down | agg: 2.95~9.25 | dmg: 3~10 @ 33
s3 rodion_lcb | slay | agg: 2.45~9.23 | dmg: 8~28 @ 33
s3 gregor_chef | butcher_viand | agg: 5.83~9.21 | dmg: 20~30 @ 37
s1 faust_l_corp | sole_strike | agg: 3.7~9.1 | dmg: 3~9 @ 37
s1 hong_lu_kurokumo | cleave | agg: 3.7~9.1 | dmg: 4~10 @ 32
s1 yi_sang_seven | fleche | agg: 3.7~9.1 | dmg: 4~10 @ 32
s2 rodion_clearance | thrust | agg: 7.15~8.9 | dmg: 12~15 @ 40
s2 gregor_liu | rush_down | agg: 6.27~8.86 | dmg: 15~21 @ 40
s2 sinclair_blade | slash_series | agg: 6.27~8.86 | dmg: 18~24 @ 35
s1 gregor_lcb | swipe | agg: 2.55~8.85 | dmg: 3~10 @ 31
s1 ishmael_lcb | loggerhead | agg: 2.55~8.85 | dmg: 3~10 @ 31
s1 gregor_liu | single_point_stab | agg: 5.29~8.8 | dmg: 8~14 @ 40
s1 sinclair_n_corp | coerced_judgement | agg: 6.7~8.59 | dmg: 10~16 @ 38
s1 faust_w_corp | energy_cycle | agg: 3.1~8.5 | dmg: 4~10 @ 29
s1 ishmael_clearance | shove | agg: 3.1~8.5 | dmg: 4~10 @ 29
s1 outis_g_corp | order | agg: 3.1~8.5 | dmg: 4~10 @ 29
s1 sinclair_zwei | baton | agg: 3.1~8.5 | dmg: 4~10 @ 29
s3 faust_lcb | drilling_stab | agg: 4.89~8.4 | dmg: 12~18 @ 28
s1 faust_lcb | downward_slash | agg: 1.95~8.25 | dmg: 3~10 @ 28
s1 yi_sang_lcb | deflect | agg: 1.95~8.25 | dmg: 3~10 @ 28
s2 yi_sang_seven | riposte | agg: 4.69~8.2 | dmg: 10~16 @ 32
s3 meursault_w_corp | energy_current | agg: 4.43~7.81 | dmg: 20~30 @ 30
s1 meursault_lcb | un_deux | agg: 0.78~7.81 | dmg: 4~16 @ 26
s1 gregor_chef | keep_it_fresh | agg: 4.09~7.6 | dmg: 8~14 @ 34
s3 yi_sang_lcb | enjamb | agg: 4.87~7.46 | dmg: 18~24 @ 28
s1 sinclair_blade | slice_then_stab | agg: 5.15~6.9 | dmg: 10~13 @ 35
s1 heathcliff_sunshower | umbrella_thwack | agg: 4.9~6.8 | dmg: 6~18 @ 39
s2 sinclair_zwei | suppress | agg: 4.95~6.7 | dmg: 12~15 @ 29
s1 meursault_n_corp | drive | agg: 4.55~6.3 | dmg: 10~13 @ 32
s2 sinclair_mariachi | danza_de_pasion | agg: 3.67~6.26 | dmg: 15~21 @ 27
s1 sinclair_mariachi | baile_y_rola | agg: 2.69~6.2 | dmg: 8~14 @ 27
s3 meursault_lcb | des_coups | agg: 2.63~6.01 | dmg: 16~26 @ 26
