s2 ishmael_shi_prime | flashing_slide | agg: 22.05 | raw: 73.25 | var: 0.6
s2 faust_w_corp | leap | agg: 11.41 | raw: 20.38 | var: 0.61
s2 gregor_g_corp | dismember | agg: 16.7 | raw: 19.95 | var: 0.58
s2 rodion_clearance | thrust | agg: 8.9 | raw: 19.55 | var: 0.18
s2 ryoshu_seven | upper_slash | agg: 16.4 | raw: 19.55 | var: 0.71
s2 rodion_clearance_weak | thrust | agg: 8.9 | raw: 19.55 | var: 0.18
s2 heathcliff_shi_prime | flying_sword | agg: 17.3 | raw: 19.4 | var: 0.56
s2 meursault_liu | stalwart_stance | agg: 9.6 | raw: 19.18 | var: 0.34
s2 ishmael_r_corp_prime | flaying_surge | agg: 16.9 | raw: 18.62 | var: 0.57
s2 hong_lu_liu | flowing_flame | agg: 9.4 | raw: 18.58 | var: 0.35
s2 don_quixote_lcb_prime | galloping_tilt | agg: 15.7 | raw: 17.98 | var: 0.62
s2 faust_lcb | upward_slash | agg: 10.21 | raw: 17.72 | var: 0.7
s2 yi_sang_lcb | end_stop_stab | agg: 10.21 | raw: 17.72 | var: 0.7
s2 sinclair_mariachi | danza_de_pasion | agg: 6.26 | raw: 16.52 | var: 0.37
s2 ishmael_r_corp | flaying_surge | agg: 14.9 | raw: 16.48 | var: 0.65
s2 heathcliff_shi | flying_sword | agg: 14.3 | raw: 16.13 | var: 0.68
s2 yi_sang_seven | riposte | agg: 8.2 | raw: 15.84 | var: 0.41
s2 heathcliff_n_corp_prime | smackdown | agg: 14.2 | raw: 15.77 | var: 0.55
s2 don_quixote_lcb | galloping_tilt | agg: 13.7 | raw: 15.76 | var: 0.7
s2 ishmael_lcb_prime | slide | agg: 13.8 | raw: 15.05 | var: 0.56
s2 heathcliff_n_corp | smackdown | agg: 13.2 | raw: 14.69 | var: 0.59
s2 outis_g_corp | onslaught_command | agg: 13.3 | raw: 14.35 | var: 0.72
s2 gregor_lcb | jag | agg: 12.7 | raw: 13.99 | var: 0.76
s2 sinclair_zwei | suppress | agg: 6.7 | raw: 13.1 | var: 0.24
s2 ishmael_lcb | slide | agg: 11.8 | raw: 12.93 | var: 0.66
s2 meursault_lcb | nailing_fist | agg: 10.8 | raw: 11.31 | var: 0.71
s2 heathcliff_lcb_prime | smackdown | agg: 8.4 | raw: 9.29 | var: 0.47
s2 heathcliff_lcb | smackdown | agg: 7.4 | raw: 8.21 | var: 0.53
