s3 don_quixote_w_corp | rip_space | aggregate: 30.22 | variance: 0.83
s2 outis_g_corp | onslaught_command | aggregate: 13.3 | variance: 0.68
s2 heathcliff_n_corp | smackdown | aggregate: 13.2 | variance: 0.55
s3 outis_seven | exploit_the_gap | aggregate: 13.11 | variance: 0.39
s3 meursault_n_corp | annihilate_heretics | aggregate: 13.11 | variance: 0.4
s3 rodion_n_corp_prime | ironclad_retribution | aggregate: 13.03 | variance: 0.52
s2 faust_l_corp | deep_cuts | aggregate: 12.97 | variance: 0.6
s2 faust_l_corp_base | deep_cuts | aggregate: 12.97 | variance: 0.6
s3 yi_sang_seven | moulinet | aggregate: 12.97 | variance: 0.6
s1 heathcliff_r_corp_prime | graze_the_grass | aggregate: 12.91 | variance: 0.4
s3 gregor_g_corp | eviscerate | aggregate: 12.83 | variance: 0.53
s2 heathcliff_r_corp_base | concentrated_fire | aggregate: 12.83 | variance: 0.53
s3 hong_lu_lcb_base | whirlwind | aggregate: 12.81 | variance: 0.55
s2 gregor_lcb | jag | aggregate: 12.7 | variance: 0.71
s3 gregor_liu | perfected_palm_strike | aggregate: 12.63 | variance: 0.54
s3 faust_n_corp | execution | aggregate: 12.51 | variance: 0.41
s3 faust_w_corp_prime | overcharge | aggregate: 12.51 | variance: 0.41
s1 faust_n_corp_prime | cackle | aggregate: 12.51 | variance: 0.42
s1 heathcliff_shi_prime | extreme_edge | aggregate: 12.5 | variance: 0.43
s3 ishmael_clearance_prime | suppress | aggregate: 12.43 | variance: 0.55
s2 ishmael_shi | flashing_slide | aggregate: 12.41 | variance: 0.57
s1 ishmael_shi_prime | flying_sword | aggregate: 12.41 | variance: 0.57
s2 outis_blade | acupuncture | aggregate: 12.41 | variance: 0.57
s2 faust_lcb_prime | upward_slash | aggregate: 12.21 | variance: 0.58
s2 outis_lcb | backslash | aggregate: 12.21 | variance: 0.58
s3 yi_sang_blade | flank_thrust | aggregate: 12.06 | variance: 0.21
s3 rodion_n_corp | ironclad_retribution | aggregate: 12.03 | variance: 0.56
s2 hong_lu_kurokumo | cloud_cutter | aggregate: 12.01 | variance: 0.59
s1 rodion_n_corp_prime | devoted_hammering | aggregate: 12.01 | variance: 0.59
s1 heathcliff_r_corp | graze_the_grass | aggregate: 11.91 | variance: 0.43
s1 ishmael_r_corp | mind_strike | aggregate: 11.91 | variance: 0.74
s1 yi_sang_blade | strikers_stance | aggregate: 11.9 | variance: 0.45
s1 don_quixote_lcb_prime | joust | aggregate: 11.85 | variance: 0.53
s3 gregor_lcb | chop_up | aggregate: 11.81 | variance: 0.6
s2 hong_lu_lcb_base | dual_strike | aggregate: 11.81 | variance: 0.6
s2 ryoshu_lcb | splatter | aggregate: 11.81 | variance: 0.6
s3 rodion_clearance_base | suppress | aggregate: 11.8 | variance: 0.3
s2 ishmael_lcb | slide | aggregate: 11.8 | variance: 0.61
s3 don_quixote_lcb | for_justice | aggregate: 11.77 | variance: 0.66
s2 rodion_kurokumo | scattering_slash | aggregate: 11.71 | variance: 0.45
s1 ryoshu_seven_prime | slash | aggregate: 11.7 | variance: 0.46
s2 faust_w_corp | leap | aggregate: 11.41 | variance: 0.62
s2 ishmael_clearance | quake_rounds | aggregate: 11.37 | variance: 0.68
s3 sinclair_lcb | ravaging_cut | aggregate: 11.31 | variance: 0.46
s1 don_quixote_w_corp | rip | aggregate: 11.3 | variance: 0.48
s1 don_quixote_w_corp_base | rip | aggregate: 11.3 | variance: 0.48
s1 hong_lu_tingtang | throat_slit | aggregate: 11.3 | variance: 0.48
s1 ryoshu_kurokumo | focus_strike | aggregate: 11.3 | variance: 0.48
s1 heathcliff_n_corp_prime | gawky_nailing | aggregate: 11.21 | variance: 0.63
s2 rodion_lcb | axe_combo | aggregate: 11.21 | variance: 0.63
s2 rodion_n_corp_prime | zealous_purge | aggregate: 11.2 | variance: 0.31
s1 outis_seven | predictive_analysis | aggregate: 11.2 | variance: 0.32
s3 don_quixote_w_corp_base | rip_space | aggregate: 11.14 | variance: 0.75
s3 hong_lu_kurokumo | cloudburst | aggregate: 11.11 | variance: 0.46
s2 meursault_n_corp | you_are_cleansed_of_sin | aggregate: 11.11 | variance: 0.47
s1 faust_l_corp_prime | sole_strike | aggregate: 11.1 | variance: 0.49
s1 rodion_n_corp | devoted_hammering | aggregate: 11.01 | variance: 0.64
s1 heathcliff_r_corp_base | graze_the_grass | aggregate: 10.91 | variance: 0.47
s3 ryoshu_lcb | brushstroke | aggregate: 10.91 | variance: 0.47
s1 gregor_g_corp | hack | aggregate: 10.91 | variance: 0.48
s1 ishmael_lcb_prime | loggerhead | aggregate: 10.85 | variance: 0.58
s2 meursault_lcb | nailing_fist | aggregate: 10.8 | variance: 0.67
s1 rodion_clearance | bludgeon | aggregate: 10.7 | variance: 0.5
s1 rodion_clearance_base | bludgeon | aggregate: 10.7 | variance: 0.5
s1 rodion_kurokumo | sharpened_blade | aggregate: 10.7 | variance: 0.5
s1 ryoshu_seven | slash | aggregate: 10.7 | variance: 0.5
s3 faust_w_corp | overcharge | aggregate: 10.51 | variance: 0.49
s1 faust_n_corp | cackle | aggregate: 10.51 | variance: 0.5
s1 faust_w_corp_prime | energy_cycle | aggregate: 10.5 | variance: 0.51
s1 ishmael_clearance_prime | shove | aggregate: 10.5 | variance: 0.51
s3 ishmael_clearance | suppress | aggregate: 10.43 | variance: 0.65
s1 ishmael_shi | flying_sword | aggregate: 10.41 | variance: 0.68
s1 meursault_liu | assault | aggregate: 10.41 | variance: 0.68
s3 faust_lcb_prime | drilling_stab | aggregate: 10.4 | variance: 0.34
s2 sinclair_lcb | halberd_combo | aggregate: 10.31 | variance: 0.5
s1 faust_lcb_prime | downward_slash | aggregate: 10.25 | variance: 0.61
s1 heathcliff_lcb_prime | bat_bash | aggregate: 10.25 | variance: 0.61
s1 sinclair_lcb | downward_swing | aggregate: 10.25 | variance: 0.61
s2 faust_lcb | upward_slash | aggregate: 10.21 | variance: 0.69
s1 heathcliff_n_corp | gawky_nailing | aggregate: 10.21 | variance: 0.69
s1 hong_lu_liu | warm_up | aggregate: 10.21 | variance: 0.69
s2 yi_sang_lcb | end_stop_stab | aggregate: 10.21 | variance: 0.69
s2 rodion_n_corp | zealous_purge | aggregate: 10.2 | variance: 0.34
s2 yi_sang_blade | heel_turn | aggregate: 10.1 | variance: 0.17
s1 don_quixote_shi | catch_breath | aggregate: 10.1 | variance: 0.53
s1 don_quixote_shi_prime | catch_breath | aggregate: 10.1 | variance: 0.53
s2 gregor_liu_prime | rush_down | aggregate: 9.86 | variance: 0.26
s1 don_quixote_lcb | joust | aggregate: 9.85 | variance: 0.64
s1 hong_lu_lcb | downward_cleave | aggregate: 9.85 | variance: 0.64
s1 hong_lu_lcb_base | downward_cleave | aggregate: 9.85 | variance: 0.64
s1 ryoshu_lcb | paint | aggregate: 9.85 | variance: 0.64
s1 gregor_liu_prime | single_point_stab | aggregate: 9.8 | variance: 0.36
s2 meursault_w_corp | energy_cycle | aggregate: 9.71 | variance: 0.53
s1 meursault_w_corp | rip | aggregate: 9.7 | variance: 0.56
s2 meursault_liu | stalwart_stance | aggregate: 9.6 | variance: 0.37
s1 heathcliff_shi | extreme_edge | aggregate: 9.5 | variance: 0.57
s1 outis_blade | draw_of_the_sword | aggregate: 9.5 | variance: 0.57
s2 hong_lu_liu | flowing_flame | aggregate: 9.4 | variance: 0.37
s1 outis_lcb | pulled_blade | aggregate: 9.31 | variance: 0.55
s1 heathcliff_lcb | bat_bash | aggregate: 9.25 | variance: 0.68
s1 rodion_lcb | strike_down | aggregate: 9.25 | variance: 0.68
s3 rodion_lcb | slay | aggregate: 9.23 | variance: 0.73
s1 faust_l_corp | sole_strike | aggregate: 9.1 | variance: 0.59
s1 faust_l_corp_base | sole_strike | aggregate: 9.1 | variance: 0.59
s1 hong_lu_kurokumo | cleave | aggregate: 9.1 | variance: 0.59
s1 yi_sang_seven | fleche | aggregate: 9.1 | variance: 0.59
s2 rodion_clearance | thrust | aggregate: 8.9 | variance: 0.2
s2 rodion_clearance_base | thrust | aggregate: 8.9 | variance: 0.2
s2 gregor_liu | rush_down | aggregate: 8.86 | variance: 0.29
s2 sinclair_blade | slash_series | aggregate: 8.86 | variance: 0.29
s1 gregor_lcb | swipe | aggregate: 8.85 | variance: 0.71
s1 ishmael_lcb | loggerhead | aggregate: 8.85 | variance: 0.71
s1 gregor_liu | single_point_stab | aggregate: 8.8 | variance: 0.4
s1 faust_w_corp | energy_cycle | aggregate: 8.5 | variance: 0.64
s1 ishmael_clearance | shove | aggregate: 8.5 | variance: 0.64
s1 outis_g_corp | order | aggregate: 8.5 | variance: 0.64
s1 sinclair_zwei | baton | aggregate: 8.5 | variance: 0.64
s3 faust_lcb | drilling_stab | aggregate: 8.4 | variance: 0.42
s2 heathcliff_lcb_prime | smackdown | aggregate: 8.4 | variance: 0.43
s1 faust_lcb | downward_slash | aggregate: 8.25 | variance: 0.76
s1 yi_sang_lcb | deflect | aggregate: 8.25 | variance: 0.76
s2 yi_sang_seven | riposte | aggregate: 8.2 | variance: 0.43
s3 meursault_w_corp | energy_current | aggregate: 7.81 | variance: 0.43
s1 meursault_lcb | un_deux | aggregate: 7.81 | variance: 0.9
s3 yi_sang_lcb | enjamb | aggregate: 7.46 | variance: 0.35
s2 heathcliff_lcb | smackdown | aggregate: 7.4 | variance: 0.49
s1 sinclair_blade | slice_then_stab | aggregate: 6.9 | variance: 0.25
s2 sinclair_zwei | suppress | aggregate: 6.7 | variance: 0.26
s1 meursault_n_corp | drive | aggregate: 6.3 | variance: 0.28
s2 sinclair_mariachi | danza_de_pasion | aggregate: 6.26 | variance: 0.41
s1 sinclair_mariachi | baile_y_rola | aggregate: 6.2 | variance: 0.57
s3 meursault_lcb | des_coups | aggregate: 6.01 | variance: 0.56
