s2 sinclair_n_corp | self_destructive_purge | agg: 30.99 | raw: 90 (40) | var: 0.8
s1 meursault_n_corp | you_are_cleansed_of_sin | agg: 11.11 | raw: 21 (32) | var: 0.43
s0 rodion_n_corp | devoted_hammering | agg: 11.01 | raw: 18 (37) | var: 0.67
s2 ryoshu_lcb | brushstroke | agg: 10.91 | raw: 27 (36) | var: 0.44
s0 gregor_g_corp | hack | agg: 10.91 | raw: 17 (41) | var: 0.53
s1 meursault_lcb | nailing_fist | agg: 10.8 | raw: 13 (26) | var: 0.62
s0 rodion_clearance | bludgeon | agg: 10.7 | raw: 10 (40) | var: 0.6
s0 rodion_kurokumo | sharpened_blade | agg: 10.7 | raw: 11 (35) | var: 0.55
s0 ryoshu_seven | slash | agg: 10.7 | raw: 10 (40) | var: 0.6
s2 faust_w_corp | overcharge | agg: 10.51 | raw: 30 (29) | var: 0.4
s0 faust_n_corp | cackle | agg: 10.51 | raw: 17 (39) | var: 0.53
s2 ishmael_clearance | suppress | agg: 10.43 | raw: 36 (29) | var: 0.56
s0 don_quixote_n_corp | rightful_purge | agg: 10.41 | raw: 18 (34) | var: 0.67
s0 ishmael_shi | flying_sword | agg: 10.41 | raw: 18 (34) | var: 0.67
s0 meursault_liu | assault | agg: 10.41 | raw: 18 (34) | var: 0.67
s1 sinclair_lcb | halberd_combo | agg: 10.31 | raw: 24 (38) | var: 0.5
s0 ryoshu_chef | cooking_prep | agg: 10.31 | raw: 17 (38) | var: 0.53
s0 sinclair_lcb | downward_swing | agg: 10.25 | raw: 10 (38) | var: 0.7
s1 faust_lcb | upward_slash | agg: 10.21 | raw: 20 (28) | var: 0.6
s0 heathcliff_n_corp | gawky_nailing | agg: 10.21 | raw: 18 (33) | var: 0.67
s0 hong_lu_liu | warm_up | agg: 10.21 | raw: 18 (33) | var: 0.67
s1 yi_sang_lcb | end_stop_stab | agg: 10.21 | raw: 20 (28) | var: 0.6
s1 rodion_n_corp | zealous_purge | agg: 10.2 | raw: 18 (37) | var: 0.33
s1 yi_sang_blade | heel_turn | agg: 10.1 | raw: 17 (41) | var: 0.18
s0 don_quixote_shi | catch_breath | agg: 10.1 | raw: 10 (37) | var: 0.6
s0 don_quixote_lcb | joust | agg: 9.85 | raw: 10 (36) | var: 0.7
s0 hong_lu_lcb | downward_cleave | agg: 9.85 | raw: 10 (36) | var: 0.7
s0 ryoshu_lcb | paint | agg: 9.85 | raw: 10 (36) | var: 0.7
s1 meursault_w_corp | energy_cycle | agg: 9.71 | raw: 27 (30) | var: 0.44
s0 meursault_w_corp | rip | agg: 9.7 | raw: 11 (30) | var: 0.55
s1 meursault_liu | stalwart_stance | agg: 9.6 | raw: 18 (34) | var: 0.33
s0 heathcliff_shi | extreme_edge | agg: 9.5 | raw: 10 (34) | var: 0.6
s0 outis_blade | draw_of_the_sword | agg: 9.5 | raw: 10 (34) | var: 0.6
s1 hong_lu_liu | flowing_flame | agg: 9.4 | raw: 18 (33) | var: 0.33
s0 outis_lcb | pulled_blade | agg: 9.31 | raw: 21 (38) | var: 0.57
s0 heathcliff_lcb | bat_bash | agg: 9.25 | raw: 10 (33) | var: 0.7
s0 rodion_lcb | strike_down | agg: 9.25 | raw: 10 (33) | var: 0.7
s2 rodion_lcb | slay | agg: 9.23 | raw: 28 (33) | var: 0.71
s2 gregor_chef | butcher_viand | agg: 9.21 | raw: 30 (37) | var: 0.33
s0 faust_l_corp | sole_strike | agg: 9.1 | raw: 9 (37) | var: 0.67
s0 hong_lu_kurokumo | cleave | agg: 9.1 | raw: 10 (32) | var: 0.6
s0 yi_sang_seven | fleche | agg: 9.1 | raw: 10 (32) | var: 0.6
s1 rodion_clearance | thrust | agg: 8.9 | raw: 15 (40) | var: 0.2
s1 gregor_liu | rush_down | agg: 8.86 | raw: 21 (40) | var: 0.29
s1 sinclair_blade | slash_series | agg: 8.86 | raw: 24 (35) | var: 0.25
s0 gregor_lcb | swipe | agg: 8.85 | raw: 10 (31) | var: 0.7
s0 ishmael_lcb | loggerhead | agg: 8.85 | raw: 10 (31) | var: 0.7
s0 gregor_liu | single_point_stab | agg: 8.8 | raw: 14 (40) | var: 0.43
s0 sinclair_n_corp | coerced_judgement | agg: 8.59 | raw: 16 (38) | var: 0.38
s0 faust_w_corp | energy_cycle | agg: 8.5 | raw: 10 (29) | var: 0.6
s0 ishmael_clearance | shove | agg: 8.5 | raw: 10 (29) | var: 0.6
s0 outis_g_corp | order | agg: 8.5 | raw: 10 (29) | var: 0.6
s0 sinclair_zwei | baton | agg: 8.5 | raw: 10 (29) | var: 0.6
s2 faust_lcb | drilling_stab | agg: 8.4 | raw: 18 (28) | var: 0.33
s0 faust_lcb | downward_slash | agg: 8.25 | raw: 10 (28) | var: 0.7
s0 yi_sang_lcb | deflect | agg: 8.25 | raw: 10 (28) | var: 0.7
s1 yi_sang_seven | riposte | agg: 8.2 | raw: 16 (32) | var: 0.38
s2 meursault_w_corp | energy_current | agg: 7.81 | raw: 30 (30) | var: 0.33
s0 meursault_lcb | un_deux | agg: 7.81 | raw: 16 (26) | var: 0.75
s0 gregor_chef | keep_it_fresh | agg: 7.6 | raw: 14 (34) | var: 0.43
s2 yi_sang_lcb | enjamb | agg: 7.46 | raw: 24 (28) | var: 0.25
s0 sinclair_blade | slice_then_stab | agg: 6.9 | raw: 13 (35) | var: 0.23
s1 sinclair_zwei | suppress | agg: 6.7 | raw: 15 (29) | var: 0.2
s0 meursault_n_corp | drive | agg: 6.3 | raw: 13 (32) | var: 0.23
s1 sinclair_mariachi | danza_de_pasion | agg: 6.26 | raw: 21 (27) | var: 0.29
s0 sinclair_mariachi | baile_y_rola | agg: 6.2 | raw: 14 (27) | var: 0.43
s2 meursault_lcb | des_coups | agg: 6.01 | raw: 26 (26) | var: 0.38
