s1 ishmael_shi_prime | flashing_slide | agg: 20.05 | raw: 59.4 | var: 0.67
s1 faust_lcb_prime | upward_slash | agg: 12.21 | raw: 22.32 | var: 0.5
s1 gregor_liu | rush_down | agg: 8.86 | raw: 22.05 | var: 0.29
s1 ishmael_shi | flashing_slide | agg: 12.41 | raw: 21.78 | var: 0.55
s1 outis_blade | acupuncture | agg: 12.41 | raw: 21.78 | var: 0.55
s1 heathcliff_lcb_prime | smackdown | agg: 12.21 | raw: 21.56 | var: 0.55
s1 hong_lu_kurokumo | cloud_cutter | agg: 12.01 | raw: 21.34 | var: 0.55
s1 rodion_kurokumo | scattering_slash | agg: 11.71 | raw: 21.0 | var: 0.43
s1 faust_w_corp | leap | agg: 11.41 | raw: 20.68 | var: 0.55
s1 outis_lcb | backslash | agg: 12.21 | raw: 20.6 | var: 0.6
s1 rodion_n_corp_prime | zealous_purge | agg: 11.2 | raw: 20.4 | var: 0.3
s1 meursault_n_corp | you_are_cleansed_of_sin | agg: 11.11 | raw: 20.37 | var: 0.43
s1 ryoshu_lcb | splatter | agg: 11.81 | raw: 20.2 | var: 0.6
s1 hong_lu_lcb_weak | dual_strike | agg: 11.81 | raw: 20.2 | var: 0.6
s1 ryoshu_seven_prime | upper_slash | agg: 19.4 | raw: 19.95 | var: 0.63
s1 heathcliff_lcb | smackdown | agg: 11.21 | raw: 19.6 | var: 0.6
s1 rodion_lcb | axe_combo | agg: 11.21 | raw: 19.6 | var: 0.6
s1 sinclair_mariachi | danza_de_pasion | agg: 6.26 | raw: 19.32 | var: 0.29
s1 faust_lcb | upward_slash | agg: 10.21 | raw: 18.6 | var: 0.6
s1 yi_sang_lcb | end_stop_stab | agg: 10.21 | raw: 18.6 | var: 0.6
s1 rodion_n_corp | zealous_purge | agg: 10.2 | raw: 18.36 | var: 0.33
s1 yi_sang_blade | heel_turn | agg: 10.1 | raw: 18.02 | var: 0.18
s1 heathcliff_shi_prime | flying_sword | agg: 17.3 | raw: 17.82 | var: 0.56
s1 meursault_liu | stalwart_stance | agg: 9.6 | raw: 17.82 | var: 0.33
s1 hong_lu_liu | flowing_flame | agg: 9.4 | raw: 17.64 | var: 0.33
s1 ishmael_r_corp_prime | flaying_surge | agg: 16.9 | raw: 17.46 | var: 0.56
s1 gregor_g_corp | dismember | agg: 16.7 | raw: 16.96 | var: 0.62
s1 ryoshu_seven | upper_slash | agg: 16.4 | raw: 16.8 | var: 0.75
s1 don_quixote_lcb_prime | galloping_tilt | agg: 15.7 | raw: 16.16 | var: 0.62
s1 rodion_clearance | thrust | agg: 8.9 | raw: 15.75 | var: 0.2
s1 rodion_clearance_weak | thrust | agg: 8.9 | raw: 15.75 | var: 0.2
s1 ishmael_r_corp | flaying_surge | agg: 14.9 | raw: 15.52 | var: 0.62
s1 yi_sang_seven | riposte | agg: 8.2 | raw: 15.52 | var: 0.38
s1 heathcliff_shi | flying_sword | agg: 14.3 | raw: 14.85 | var: 0.67
s1 heathcliff_n_corp_prime | purify | agg: 14.2 | raw: 14.7 | var: 0.53
s1 ishmael_lcb_prime | slide | agg: 13.8 | raw: 14.4 | var: 0.53
s1 don_quixote_lcb | galloping_tilt | agg: 13.7 | raw: 14.14 | var: 0.71
s1 outis_g_corp | onslaught_command | agg: 13.3 | raw: 14.1 | var: 0.67
s1 sinclair_zwei | suppress | agg: 6.7 | raw: 14.1 | var: 0.2
s1 heathcliff_n_corp | purify | agg: 13.2 | raw: 13.72 | var: 0.57
s1 gregor_chef | you_fresh_enough | agg: 13.0 | raw: 13.58 | var: 0.57
s1 gregor_lcb | jag | agg: 12.7 | raw: 13.44 | var: 0.71
s1 ishmael_lcb | slide | agg: 11.8 | raw: 12.48 | var: 0.62
s1 meursault_lcb | nailing_fist | agg: 10.8 | raw: 11.83 | var: 0.62
