ishmael_shi_prime_partial | agg: 3.63~13.27 | dmg: 8.8~32.0 @ 34.0
ishmael_r_corp | agg: 4.12~14.33 | dmg: 6.33~25.5 @ 32.0
faust_l_corp | agg: 4.59~13.09 | dmg: 6.83~21.33 @ 37.0
outis_seven | agg: 7.5~13.09 | dmg: 12.67~21.67 @ 32.0
ishmael_clearance | agg: 3.37~9.78 | dmg: 8.67~21.0 @ 29.0
gregor_liu_prime | agg: 6.71~10.46 | dmg: 14.33~22.67 @ 40.0
faust_l_corp_weak | agg: 4.52~12.14 | dmg: 6.83~19.83 @ 37.0
faust_w_corp_prime | agg: 5.9~11.81 | dmg: 11.67~20.67 @ 29.0
rodion_n_corp_prime | agg: 6.1~11.91 | dmg: 12.0~23.33 @ 37.0
sinclair_l_corp | agg: 5.41~12.0 | dmg: 8.17~19.67 @ 36.0
rodion_rosespanner | agg: 5.98~12.09 | dmg: 10.5~22.0 @ 38.0
meursault_w_corp | agg: 4.4~9.39 | dmg: 10.83~19.5 @ 30.0
ryoshu_seven_prime | agg: 7.25~15.7 | dmg: 7.33~19.33 @ 40.0
hong_lu_k_corp | agg: 6.21~13.31 | dmg: 8.5~19.0 @ 36.0
gregor_liu | agg: 5.71~9.46 | dmg: 11.67~20.0 @ 40.0
don_quixote_shi_prime | agg: 5.52~14.88 | dmg: 5.83~18.33 @ 37.0
outis_seven_weak | agg: 5.5~11.09 | dmg: 9.33~18.33 @ 32.0
meursault_rosespanner | agg: 4.42~10.59 | dmg: 8.0~18.33 @ 33.0
rodion_n_corp | agg: 5.1~10.91 | dmg: 9.67~21.0 @ 37.0
don_quixote_lcb_prime | agg: 6.1~14.41 | dmg: 7.0~18.83 @ 36.0
ryoshu_kurokumo | agg: 6.59~13.39 | dmg: 8.5~18.5 @ 38.0
hong_lu_k_corp_weak | agg: 6.19~12.99 | dmg: 8.5~18.5 @ 36.0
heathcliff_n_corp_prime | agg: 5.37~13.01 | dmg: 8.83~21.5 @ 33.0
don_quixote_shi | agg: 5.02~14.38 | dmg: 5.33~17.83 @ 37.0
meursault_liu | agg: 4.66~10.63 | dmg: 9.5~20.5 @ 34.0
ishmael_shi | agg: 4.55~11.58 | dmg: 8.33~20.33 @ 34.0
gregor_g_corp | agg: 6.39~13.16 | dmg: 8.67~19.83 @ 41.0
sinclair_lcb | agg: 4.72~10.45 | dmg: 8.0~17.5 @ 38.0
ryoshu_seven | agg: 5.58~14.03 | dmg: 5.33~17.33 @ 40.0
hong_lu_lcb | agg: 4.43~12.26 | dmg: 5.83~17.33 @ 36.0
hong_lu_kurokumo | agg: 4.5~10.41 | dmg: 8.33~17.33 @ 32.0
faust_w_corp | agg: 3.9~9.81 | dmg: 8.33~17.33 @ 29.0
heathcliff_shi_prime | agg: 7.76~15.22 | dmg: 8.83~18.17 @ 34.0
heathcliff_lcb_prime | agg: 4.61~11.86 | dmg: 7.0~17.5 @ 33.0
sinclair_blade | agg: 6.11~9.95 | dmg: 12.33~18.17 @ 35.0
heathcliff_n_corp | agg: 4.37~12.01 | dmg: 7.0~19.67 @ 33.0
faust_lcb_prime | agg: 4.85~10.93 | dmg: 9.17~17.67 @ 28.0
hong_lu_liu | agg: 4.47~10.91 | dmg: 8.67~19.67 @ 33.0
outis_lcb | agg: 5.02~12.04 | dmg: 8.17~20.5 @ 38.0
gregor_rosespanner | agg: 4.33~12.73 | dmg: 6.33~19.33 @ 36.0
don_quixote_n_corp | agg: 3.93~12.33 | dmg: 6.33~19.33 @ 34.0
meursault_n_corp | agg: 5.52~9.04 | dmg: 11.67~17.67 @ 32.0
outis_blade | agg: 4.91~11.12 | dmg: 7.33~16.33 @ 34.0
rodion_lcb | agg: 3.28~9.9 | dmg: 5.5~16.33 @ 33.0
ryoshu_lcb | agg: 4.33~10.68 | dmg: 6.67~16.17 @ 36.0
rodion_kurokumo | agg: 6.1~12.95 | dmg: 7.67~16.33 @ 35.0
ishmael_l_corp | agg: 4.74~12.19 | dmg: 6.33~16.0 @ 33.0
heathcliff_lcb | agg: 3.61~10.86 | dmg: 5.5~16.0 @ 33.0
yi_sang_blade | agg: 7.61~11.33 | dmg: 11.17~16.17 @ 41.0
yi_sang_seven | agg: 4.28~9.45 | dmg: 7.83~15.83 @ 32.0
sinclair_mariachi | agg: 3.73~8.0 | dmg: 10.33~17.17 @ 27.0
yi_sang_lcb | agg: 2.85~8.77 | dmg: 7.17~15.67 @ 28.0
hong_lu_lcb_weak | agg: 4.33~11.0 | dmg: 5.83~15.33 @ 36.0
gregor_chef | agg: 4.95~9.67 | dmg: 9.33~16.67 @ 33.83
heathcliff_shi | agg: 4.76~12.22 | dmg: 5.33~14.67 @ 34.0
faust_lcb | agg: 2.85~8.93 | dmg: 6.17~14.67 @ 28.0
meursault_lcb | agg: 2.03~8.51 | dmg: 6.33~16.67 @ 26.0
rodion_clearance | agg: 6.46~10.92 | dmg: 8.33~14.33 @ 40.0
don_quixote_lcb | agg: 4.01~11.45 | dmg: 4.33~14.17 @ 36.0
ishmael_lcb_prime | agg: 5.94~13.29 | dmg: 6.33~14.5 @ 31.0
outis_g_corp | agg: 3.92~12.02 | dmg: 4.67~13.67 @ 29.0
gregor_lcb | agg: 3.31~10.63 | dmg: 4.5~13.33 @ 31.0
rodion_clearance_weak | agg: 6.41~10.28 | dmg: 8.33~13.33 @ 40.0
sinclair_zwei | agg: 4.27~9.51 | dmg: 7.17~13.33 @ 29.0
ishmael_lcb | agg: 3.94~11.29 | dmg: 4.33~12.5 @ 31.0
