s2 sinclair_n_corp_prime | amoral_enactment | agg: 14.01~17.8 | dmg: 28~68 @ 39
s2 sinclair_blade | slash_series | agg: 6.27~8.86 | dmg: 18~24 @ 35
s2 gregor_liu | rush_down | agg: 6.27~8.86 | dmg: 15~21 @ 40
s2 ishmael_clearance | quake_rounds | agg: 3.62~11.37 | dmg: 12~30 @ 29
s2 meursault_lcb | nailing_fist | agg: 3.6~10.8 | dmg: 5~13 @ 26
s2 meursault_w_corp | energy_cycle | agg: 4.55~9.71 | dmg: 15~27 @ 30
s2 faust_lcb | upward_slash | agg: 3.18~10.21 | dmg: 8~20 @ 28
s2 yi_sang_lcb | end_stop_stab | agg: 3.18~10.21 | dmg: 8~20 @ 28
s2 yi_sang_seven | riposte | agg: 4.69~8.2 | dmg: 10~16 @ 32
s2 sinclair_zwei | suppress | agg: 4.95~6.7 | dmg: 12~15 @ 29
s2 sinclair_mariachi | danza_de_pasion | agg: 3.67~6.26 | dmg: 15~21 @ 27
