s3 don_quixote_w_corp | rip_space | agg: 30.22 | raw: 110.74 | var: 0.92
s1 don_quixote_shi | catch_breath | agg: 10.1 | raw: 11.65 | var: 0.58
s1 don_quixote_lcb | joust | agg: 9.85 | raw: 11.32 | var: 0.69
s1 hong_lu_lcb | downward_cleave | agg: 9.85 | raw: 11.32 | var: 0.69
s1 ryoshu_lcb | paint | agg: 9.85 | raw: 11.32 | var: 0.69
s2 meursault_lcb | nailing_fist | agg: 10.8 | raw: 11.31 | var: 0.71
s1 sinclair_mariachi | baile_y_rola | agg: 6.2 | raw: 11.02 | var: 0.56
s1 heathcliff_shi | extreme_edge | agg: 9.5 | raw: 10.68 | var: 0.61
s1 outis_blade | draw_of_the_sword | agg: 9.5 | raw: 10.68 | var: 0.61
s1 faust_l_corp | sole_strike | agg: 9.1 | raw: 10.53 | var: 0.64
s1 meursault_w_corp | rip | agg: 9.7 | raw: 10.5 | var: 0.6
s1 heathcliff_lcb | bat_bash | agg: 9.25 | raw: 10.37 | var: 0.73
s1 rodion_lcb | strike_down | agg: 9.25 | raw: 10.37 | var: 0.73
s1 hong_lu_kurokumo | cleave | agg: 9.1 | raw: 10.06 | var: 0.64
s1 yi_sang_seven | fleche | agg: 9.1 | raw: 10.06 | var: 0.64
s1 gregor_lcb | swipe | agg: 8.85 | raw: 9.75 | var: 0.76
s1 ishmael_lcb | loggerhead | agg: 8.85 | raw: 9.75 | var: 0.76
s1 faust_w_corp | energy_cycle | agg: 8.5 | raw: 9.15 | var: 0.68
s1 ishmael_clearance | shove | agg: 8.5 | raw: 9.15 | var: 0.68
s1 outis_g_corp | order | agg: 8.5 | raw: 9.15 | var: 0.68
s1 sinclair_zwei | baton | agg: 8.5 | raw: 9.15 | var: 0.68
s1 faust_lcb | downward_slash | agg: 8.25 | raw: 8.86 | var: 0.81
s1 yi_sang_lcb | deflect | agg: 8.25 | raw: 8.86 | var: 0.81
s2 heathcliff_lcb | smackdown | agg: 7.4 | raw: 8.21 | var: 0.53
