s1 heathcliff_r_corp_prime | graze_the_grass | agg: 7.75~12.91 | dmg: 18~30 @ 41
s1 don_quixote_shi_prime | catch_breath | agg: 4.7~10.1 | dmg: 4~10 @ 37
s1 outis_seven_weak | predictive_analysis | agg: 5.6~9.2 | dmg: 6~10 @ 32
s1 sinclair_lcb | downward_swing | agg: 3.95~10.25 | dmg: 3~10 @ 38
s1 heathcliff_shi | extreme_edge | agg: 4.1~9.5 | dmg: 4~10 @ 34
s1 outis_blade | draw_of_the_sword | agg: 4.1~9.5 | dmg: 4~10 @ 34
s1 don_quixote_lcb | joust | agg: 3.55~9.85 | dmg: 3~10 @ 36
s1 hong_lu_lcb | downward_cleave | agg: 3.55~9.85 | dmg: 3~10 @ 36
s1 ryoshu_lcb | paint | agg: 3.55~9.85 | dmg: 3~10 @ 36
s1 hong_lu_lcb_weak | downward_cleave | agg: 3.55~9.85 | dmg: 3~10 @ 36
s1 ishmael_l_corp | its_heavy | agg: 3.9~9.3 | dmg: 4~10 @ 33
s1 meursault_rosespanner | saddled_tasks | agg: 3.9~9.3 | dmg: 4~10 @ 33
s1 hong_lu_kurokumo | cleave | agg: 3.7~9.1 | dmg: 4~10 @ 32
s1 yi_sang_seven | fleche | agg: 3.7~9.1 | dmg: 4~10 @ 32
s1 hong_lu_kurokumo_prime | cleave | agg: 3.7~9.1 | dmg: 4~10 @ 32
s1 heathcliff_lcb | bat_bash | agg: 2.95~9.25 | dmg: 3~10 @ 33
s1 rodion_lcb | strike_down | agg: 2.95~9.25 | dmg: 3~10 @ 33
s1 faust_w_corp | energy_cycle | agg: 3.1~8.5 | dmg: 4~10 @ 29
s1 ishmael_clearance | shove | agg: 3.1~8.5 | dmg: 4~10 @ 29
s1 outis_g_corp | order | agg: 3.1~8.5 | dmg: 4~10 @ 29
s1 sinclair_zwei | baton | agg: 3.1~8.5 | dmg: 4~10 @ 29
s1 gregor_lcb | swipe | agg: 2.55~8.85 | dmg: 3~10 @ 31
s1 ishmael_lcb | loggerhead | agg: 2.55~8.85 | dmg: 3~10 @ 31
s1 faust_lcb | downward_slash | agg: 1.95~8.25 | dmg: 3~10 @ 28
s1 yi_sang_lcb | deflect | agg: 1.95~8.25 | dmg: 3~10 @ 28
s1 faust_l_corp | sole_strike | agg: 3.7~9.1 | dmg: 3~9 @ 37
s1 faust_l_corp_weak | sole_strike | agg: 3.7~9.1 | dmg: 3~9 @ 37
s1 hong_lu_kurokumo_prime_partial | cleave | agg: 2.7~8.1 | dmg: 3~9 @ 32
