s2 sinclair_n_corp_prime | self_destructive_purge | agg: 31.99 | raw: 93 (40) | var: 0.77
s2 gregor_g_corp | eviscerate | agg: 12.83 | raw: 36 (41) | var: 0.56
s1 heathcliff_r_corp_weak | concentrated_fire | agg: 12.83 | raw: 36 (41) | var: 0.56
s2 hong_lu_lcb_weak | whirlwind | agg: 12.81 | raw: 22 (36) | var: 0.55
s1 gregor_lcb | jag | agg: 12.7 | raw: 14 (31) | var: 0.71
s2 gregor_liu | perfected_palm_strike | agg: 12.63 | raw: 36 (40) | var: 0.56
s2 faust_n_corp | execution | agg: 12.51 | raw: 30 (39) | var: 0.4
s2 faust_w_corp_prime | overcharge | agg: 12.51 | raw: 36 (29) | var: 0.33
s0 faust_n_corp_prime | cackle | agg: 12.51 | raw: 21 (39) | var: 0.43
s0 heathcliff_shi_prime | extreme_edge | agg: 12.5 | raw: 13 (34) | var: 0.46
s2 ishmael_clearance_prime | suppress | agg: 12.43 | raw: 44 (29) | var: 0.45
s1 ishmael_shi | flashing_slide | agg: 12.41 | raw: 22 (34) | var: 0.55
s1 outis_blade | acupuncture | agg: 12.41 | raw: 22 (34) | var: 0.55
s2 don_quixote_n_corp | fanatical_judgement | agg: 12.37 | raw: 30 (34) | var: 0.6
s1 outis_lcb | backslash | agg: 12.21 | raw: 20 (38) | var: 0.6
s1 faust_lcb_prime | upward_slash | agg: 12.21 | raw: 24 (28) | var: 0.5
s1 heathcliff_lcb_prime | smackdown | agg: 12.21 | raw: 22 (33) | var: 0.55
s2 yi_sang_blade | flank_thrust | agg: 12.06 | raw: 30 (41) | var: 0.2
s2 rodion_n_corp | ironclad_retribution | agg: 12.03 | raw: 36 (37) | var: 0.56
s1 hong_lu_kurokumo | cloud_cutter | agg: 12.01 | raw: 22 (32) | var: 0.55
s0 rodion_n_corp_prime | devoted_hammering | agg: 12.01 | raw: 20 (37) | var: 0.6
s0 heathcliff_r_corp | graze_the_grass | agg: 11.91 | raw: 27 (41) | var: 0.44
s0 ishmael_r_corp | mind_strike | agg: 11.91 | raw: 21 (32) | var: 0.71
s0 yi_sang_blade | strikers_stance | agg: 11.9 | raw: 11 (41) | var: 0.55
s0 don_quixote_lcb_prime | joust | agg: 11.85 | raw: 12 (36) | var: 0.58
s2 gregor_lcb | chop_up | agg: 11.81 | raw: 22 (31) | var: 0.55
s1 ryoshu_lcb | splatter | agg: 11.81 | raw: 20 (36) | var: 0.6
s1 hong_lu_lcb_weak | dual_strike | agg: 11.81 | raw: 20 (36) | var: 0.6
s2 rodion_clearance_weak | suppress | agg: 11.8 | raw: 20 (40) | var: 0.3
s1 ishmael_lcb | slide | agg: 11.8 | raw: 13 (31) | var: 0.62
s2 don_quixote_lcb | for_justice | agg: 11.77 | raw: 27 (36) | var: 0.67
s1 rodion_kurokumo | scattering_slash | agg: 11.71 | raw: 21 (35) | var: 0.43
s0 ryoshu_seven_prime | slash | agg: 11.7 | raw: 11 (40) | var: 0.55
s1 faust_w_corp | leap | agg: 11.41 | raw: 22 (29) | var: 0.55
s1 ishmael_clearance | quake_rounds | agg: 11.37 | raw: 30 (29) | var: 0.6
s2 sinclair_lcb | ravaging_cut | agg: 11.31 | raw: 27 (38) | var: 0.44
s0 don_quixote_w_corp | rip | agg: 11.3 | raw: 11 (38) | var: 0.55
s0 hong_lu_tingtang | throat_slit | agg: 11.3 | raw: 11 (38) | var: 0.55
s0 ryoshu_kurokumo | focus_strike | agg: 11.3 | raw: 11 (38) | var: 0.55
s0 don_quixote_w_corp_weak | rip | agg: 11.3 | raw: 11 (38) | var: 0.55
s1 heathcliff_lcb | smackdown | agg: 11.21 | raw: 20 (33) | var: 0.6
s1 rodion_lcb | axe_combo | agg: 11.21 | raw: 20 (33) | var: 0.6
s0 heathcliff_n_corp_prime | gawky_nailing | agg: 11.21 | raw: 20 (33) | var: 0.6
s1 rodion_n_corp_prime | zealous_purge | agg: 11.2 | raw: 20 (37) | var: 0.3
s0 outis_seven | predictive_analysis | agg: 11.2 | raw: 12 (32) | var: 0.33
s2 don_quixote_w_corp_weak | rip_space | agg: 11.14 | raw: 35 (38) | var: 0.86
s2 hong_lu_kurokumo | cloudburst | agg: 11.11 | raw: 30 (32) | var: 0.4
s2 hong_lu_kurokumo_prime | cloudburst | agg: 11.11 | raw: 30 (32) | var: 0.4
s2 outis_seven_weak | exploit_the_gap | agg: 11.11 | raw: 30 (32) | var: 0.4
s1 meursault_n_corp | you_are_cleansed_of_sin | agg: 11.11 | raw: 21 (32) | var: 0.43
s0 faust_l_corp_prime | sole_strike | agg: 11.1 | raw: 11 (37) | var: 0.55
s0 rodion_n_corp | devoted_hammering | agg: 11.01 | raw: 18 (37) | var: 0.67
s2 ryoshu_lcb | brushstroke | agg: 10.91 | raw: 27 (36) | var: 0.44
s0 heathcliff_r_corp_weak | graze_the_grass | agg: 10.91 | raw: 24 (41) | var: 0.5
s0 gregor_g_corp | hack | agg: 10.91 | raw: 17 (41) | var: 0.53
s0 ishmael_lcb_prime | loggerhead | agg: 10.85 | raw: 12 (31) | var: 0.58
s1 meursault_lcb | nailing_fist | agg: 10.8 | raw: 13 (26) | var: 0.62
s0 rodion_kurokumo | sharpened_blade | agg: 10.7 | raw: 11 (35) | var: 0.55
s0 rodion_clearance | bludgeon | agg: 10.7 | raw: 10 (40) | var: 0.6
s0 ryoshu_seven | slash | agg: 10.7 | raw: 10 (40) | var: 0.6
s0 rodion_clearance_weak | bludgeon | agg: 10.7 | raw: 10 (40) | var: 0.6
s2 faust_w_corp | overcharge | agg: 10.51 | raw: 30 (29) | var: 0.4
s0 faust_n_corp | cackle | agg: 10.51 | raw: 17 (39) | var: 0.53
s0 faust_w_corp_prime | energy_cycle | agg: 10.5 | raw: 12 (29) | var: 0.5
s0 ishmael_clearance_prime | shove | agg: 10.5 | raw: 12 (29) | var: 0.5
s2 ishmael_clearance | suppress | agg: 10.43 | raw: 36 (29) | var: 0.56
s0 don_quixote_n_corp | rightful_purge | agg: 10.41 | raw: 18 (34) | var: 0.67
s0 ishmael_shi | flying_sword | agg: 10.41 | raw: 18 (34) | var: 0.67
s0 meursault_liu | assault | agg: 10.41 | raw: 18 (34) | var: 0.67
s0 ishmael_shi_prime | flying_sword | agg: 10.41 | raw: 18 (34) | var: 0.67
s2 faust_lcb_prime | drilling_stab | agg: 10.4 | raw: 22 (28) | var: 0.27
s1 sinclair_lcb | halberd_combo | agg: 10.31 | raw: 24 (38) | var: 0.5
s0 ryoshu_chef | cooking_prep | agg: 10.31 | raw: 17 (38) | var: 0.53
s0 ryoshu_chef_prime | cooking_prep | agg: 10.31 | raw: 17 (38) | var: 0.53
s0 sinclair_lcb | downward_swing | agg: 10.25 | raw: 10 (38) | var: 0.7
s0 faust_lcb_prime | downward_slash | agg: 10.25 | raw: 12 (28) | var: 0.58
s0 heathcliff_lcb_prime | bat_bash | agg: 10.25 | raw: 11 (33) | var: 0.64
s1 faust_lcb | upward_slash | agg: 10.21 | raw: 20 (28) | var: 0.6
s1 yi_sang_lcb | end_stop_stab | agg: 10.21 | raw: 20 (28) | var: 0.6
s0 heathcliff_n_corp | gawky_nailing | agg: 10.21 | raw: 18 (33) | var: 0.67
s0 hong_lu_liu | warm_up | agg: 10.21 | raw: 18 (33) | var: 0.67
s1 rodion_n_corp | zealous_purge | agg: 10.2 | raw: 18 (37) | var: 0.33
s1 yi_sang_blade | heel_turn | agg: 10.1 | raw: 17 (41) | var: 0.18
s0 don_quixote_shi | catch_breath | agg: 10.1 | raw: 10 (37) | var: 0.6
s0 don_quixote_shi_prime | catch_breath | agg: 10.1 | raw: 10 (37) | var: 0.6
s1 gregor_liu_prime | rush_down | agg: 9.86 | raw: 24 (40) | var: 0.25
s0 don_quixote_lcb | joust | agg: 9.85 | raw: 10 (36) | var: 0.7
s0 hong_lu_lcb | downward_cleave | agg: 9.85 | raw: 10 (36) | var: 0.7
s0 ryoshu_lcb | paint | agg: 9.85 | raw: 10 (36) | var: 0.7
s0 hong_lu_lcb_weak | downward_cleave | agg: 9.85 | raw: 10 (36) | var: 0.7
s0 gregor_liu_prime | single_point_stab | agg: 9.8 | raw: 16 (40) | var: 0.38
s1 meursault_w_corp | energy_cycle | agg: 9.71 | raw: 27 (30) | var: 0.44
s0 meursault_w_corp | rip | agg: 9.7 | raw: 11 (30) | var: 0.55
s1 meursault_liu | stalwart_stance | agg: 9.6 | raw: 18 (34) | var: 0.33
s0 sinclair_n_corp_prime | coerced_judgement | agg: 9.59 | raw: 18 (38) | var: 0.33
s0 heathcliff_shi | extreme_edge | agg: 9.5 | raw: 10 (34) | var: 0.6
s0 outis_blade | draw_of_the_sword | agg: 9.5 | raw: 10 (34) | var: 0.6
s0 ishmael_shi_prime_partial | flying_sword | agg: 9.41 | raw: 16 (34) | var: 0.75
s1 hong_lu_liu | flowing_flame | agg: 9.4 | raw: 18 (33) | var: 0.33
s0 outis_lcb | pulled_blade | agg: 9.31 | raw: 21 (38) | var: 0.57
s0 heathcliff_lcb | bat_bash | agg: 9.25 | raw: 10 (33) | var: 0.7
s0 rodion_lcb | strike_down | agg: 9.25 | raw: 10 (33) | var: 0.7
s2 rodion_lcb | slay | agg: 9.23 | raw: 28 (33) | var: 0.71
s2 gregor_chef | butcher_viand | agg: 9.21 | raw: 30 (37) | var: 0.33
s0 outis_seven_weak | predictive_analysis | agg: 9.2 | raw: 10 (32) | var: 0.4
s0 hong_lu_kurokumo | cleave | agg: 9.1 | raw: 10 (32) | var: 0.6
s0 yi_sang_seven | fleche | agg: 9.1 | raw: 10 (32) | var: 0.6
s0 faust_l_corp | sole_strike | agg: 9.1 | raw: 9 (37) | var: 0.67
s0 faust_l_corp_weak | sole_strike | agg: 9.1 | raw: 9 (37) | var: 0.67
s0 hong_lu_kurokumo_prime | cleave | agg: 9.1 | raw: 10 (32) | var: 0.6
s1 rodion_clearance | thrust | agg: 8.9 | raw: 15 (40) | var: 0.2
s1 rodion_clearance_weak | thrust | agg: 8.9 | raw: 15 (40) | var: 0.2
s1 sinclair_blade | slash_series | agg: 8.86 | raw: 24 (35) | var: 0.25
s1 gregor_liu | rush_down | agg: 8.86 | raw: 21 (40) | var: 0.29
s0 gregor_lcb | swipe | agg: 8.85 | raw: 10 (31) | var: 0.7
s0 ishmael_lcb | loggerhead | agg: 8.85 | raw: 10 (31) | var: 0.7
s0 gregor_liu | single_point_stab | agg: 8.8 | raw: 14 (40) | var: 0.43
s0 sinclair_n_corp | coerced_judgement | agg: 8.59 | raw: 16 (38) | var: 0.38
s0 faust_w_corp | energy_cycle | agg: 8.5 | raw: 10 (29) | var: 0.6
s0 ishmael_clearance | shove | agg: 8.5 | raw: 10 (29) | var: 0.6
s0 outis_g_corp | order | agg: 8.5 | raw: 10 (29) | var: 0.6
s0 sinclair_zwei | baton | agg: 8.5 | raw: 10 (29) | var: 0.6
s2 faust_lcb | drilling_stab | agg: 8.4 | raw: 18 (28) | var: 0.33
s0 faust_lcb | downward_slash | agg: 8.25 | raw: 10 (28) | var: 0.7
s0 yi_sang_lcb | deflect | agg: 8.25 | raw: 10 (28) | var: 0.7
s1 yi_sang_seven | riposte | agg: 8.2 | raw: 16 (32) | var: 0.38
s0 hong_lu_kurokumo_prime_partial | cleave | agg: 8.1 | raw: 9 (32) | var: 0.67
s2 meursault_w_corp | energy_current | agg: 7.81 | raw: 30 (30) | var: 0.33
s0 meursault_lcb | un_deux | agg: 7.81 | raw: 16 (26) | var: 0.75
s0 gregor_chef | keep_it_fresh | agg: 7.6 | raw: 14 (34) | var: 0.43
s2 yi_sang_lcb | enjamb | agg: 7.46 | raw: 24 (28) | var: 0.25
s0 sinclair_blade | slice_then_stab | agg: 6.9 | raw: 13 (35) | var: 0.23
s1 sinclair_zwei | suppress | agg: 6.7 | raw: 15 (29) | var: 0.2
s0 meursault_n_corp | drive | agg: 6.3 | raw: 13 (32) | var: 0.23
s1 sinclair_mariachi | danza_de_pasion | agg: 6.26 | raw: 21 (27) | var: 0.29
s0 sinclair_mariachi | baile_y_rola | agg: 6.2 | raw: 14 (27) | var: 0.43
s2 meursault_lcb | des_coups | agg: 6.01 | raw: 26 (26) | var: 0.38
s2 ishmael_shi_prime_partial | n/a | agg: 1.75 | raw: 2 (34) | var: 0.5
s2 hong_lu_kurokumo_prime_partial | n/a | agg: 1.35 | raw: 2 (32) | var: 0.5
