sinclair_n_corp_ut3 (expected) | clash: 13.62~18.83 | dmg: 20.5~58.5 @ 4.0
hong_lu_tingtang_ut3 (expected) | clash: 6.07~19.5 | dmg: 7.0~29.75 @ 3.0
ishmael_r_corp_ut3 (expected) | clash: 4.21~15.14 | dmg: 6.5~27.75 @ -3.0
don_quixote_n_corp_ut3 (expected) | clash: 4.07~13.16 | dmg: 6.5~20.0 @ -1.0
gregor_rosespanner_ut3 (expected) | clash: 3.73~12.83 | dmg: 6.5~20.0 @ -2.0
ishmael_l_corp_ut3 (expected) | clash: 3.9~12.36 | dmg: 7.5~19.0 @ -5.0
meursault_lcb_ut3 (expected) | clash: 1.45~7.66 | dmg: 7.5~17.0 @ -9.0
faust_lcb_ut3 (expected) | clash: 2.37~8.34 | dmg: 7.75~17.0 @ -7.0
hong_lu_lcb_ut3 (expected) | clash: 5.0~13.61 | dmg: 7.25~21.0 @ 1.0
heathcliff_lcb_ut3 (expected) | clash: 3.68~11.4 | dmg: 6.75~19.0 @ -2.0
rodion_lcb_ut3 (expected) | clash: 3.17~9.96 | dmg: 6.75~19.5 @ -2.0
ryoshu_seven_ut3 (expected) | clash: 6.39~16.36 | dmg: 6.0~21.0 @ 5.0
don_quixote_shi_ut3 (expected) | clash: 5.44~16.79 | dmg: 6.0~21.75 @ 2.0
heathcliff_shi_ut3 (expected) | clash: 4.96~13.45 | dmg: 6.0~17.0 @ -1.0
outis_g_corp_ut3 (expected) | clash: 3.53~12.98 | dmg: 5.0~15.5 @ -6.0
gregor_lcb_ut3 (expected) | clash: 3.15~10.98 | dmg: 5.25~15.0 @ -4.0
don_quixote_lcb_ut3 (expected) | clash: 4.38~12.39 | dmg: 5.0~16.25 @ 1.0
ishmael_lcb_ut3 (expected) | clash: 4.1~11.98 | dmg: 5.0~13.75 @ -4.0
