sinclair_n_corp_ut3 (prime) | clash: 13.56~17.66 | dmg: 22.33~50.0, OL 4.0 | ceil: 33.67
outis_seven_ut3 (prime) | clash: 8.1~13.69 | dmg: 9.33~18.33, OL 0.0 | ceil: 17.0
meursault_rosespanner_ut3 (prime) | clash: 6.15~12.32 | dmg: 8.0~18.33, OL 1.0 | ceil: 14.33
don_quixote_shi_ut3 (prime) | clash: 6.12~15.48 | dmg: 5.83~18.33, OL 3.0 | ceil: 29.0
meursault_n_corp_ut3 (prime) | clash: 6.12~9.64 | dmg: 11.67~17.67, OL 0.0 | ceil: 14.0
faust_w_corp_ut3 (prime) | clash: 4.77~10.67 | dmg: 8.33~17.33, OL -1.0 | ceil: 12.67
hong_lu_lcb_ut3 (prime) | clash: 4.9~12.73 | dmg: 5.83~17.33, OL 2.0 | ceil: 17.67
sinclair_mariachi_ut3 (prime) | clash: 4.33~8.6 | dmg: 10.33~17.17, OL -3.0 | ceil: 18.0
outis_blade_ut3 (prime) | clash: 5.77~11.99 | dmg: 8.0~17.0, OL 1.0 | ceil: 16.33
heathcliff_shi_ut3 (prime) | clash: 7.3~14.75 | dmg: 7.67~17.0, OL 1.0 | ceil: 19.33
rodion_lcb_ut3 (prime) | clash: 3.84~10.47 | dmg: 6.17~17.0, OL 0.0 | ceil: 12.0
gregor_chef_ut3 (prime) | clash: 5.68~10.4 | dmg: 9.33~16.67, OL 1.5 | ceil: 14.0
meursault_lcb_ut3 (prime) | clash: 2.83~9.31 | dmg: 6.33~16.67, OL -3.0 | ceil: 12.0
rodion_kurokumo_ut3 (prime) | clash: 6.76~13.62 | dmg: 7.67~16.33, OL 2.0 | ceil: 23.67
yi_sang_blade_ut3 (prime) | clash: 8.08~11.79 | dmg: 11.17~16.17, OL 5.0 | ceil: 12.67
ryoshu_lcb_ut3 (prime) | clash: 4.79~11.15 | dmg: 6.67~16.17, OL 2.0 | ceil: 12.67
ishmael_l_corp_ut3 (prime) | clash: 4.81~12.25 | dmg: 6.33~16.0, OL -1.0 | ceil: 21.67
yi_sang_seven_ut3 (prime) | clash: 6.88~12.05 | dmg: 7.83~15.83, OL 0.0 | ceil: 16.0
yi_sang_lcb_ut3 (prime) | clash: 4.25~10.17 | dmg: 7.17~15.67, OL 0.0 | ceil: 12.0
faust_lcb_ut3 (prime) | clash: 3.92~10.0 | dmg: 6.17~14.67, OL -1.0 | ceil: 11.67
outis_g_corp_ut3 (prime) | clash: 5.78~13.88 | dmg: 5.67~14.67, OL -1.0 | ceil: 22.67
rodion_lccb_ut3 (prime) | clash: 7.13~11.59 | dmg: 8.33~14.33, OL 5.0 | ceil: 16.67
sinclair_zwei_ut3 (prime) | clash: 4.81~10.04 | dmg: 7.17~13.33, OL -2.0 | ceil: 19.33
gregor_lcb_ut3 (prime) | clash: 3.77~11.09 | dmg: 4.5~13.33, OL -1.0 | ceil: 13.67
ishmael_lcb_ut3 (prime) | clash: 4.41~11.76 | dmg: 4.33~12.5, OL -1.0 | ceil: 18.67
