sinclair_n_corp_ut3 (prime) | clash: 15.62~20.83 | dmg: 26.5~65.0, OL 4.0 | ceil: 33.67
sinclair_lcb_ut3 (prime) | clash: 6.17~11.61 | dmg: 13.0~23.75, OL 2.0 | ceil: 12.67
hong_lu_tingtang_ut3 (prime) | clash: 6.07~19.5 | dmg: 8.5~48.75, OL 3.0 | ceil: 31.0
gregor_chef_ut3 (prime) | clash: 6.05~11.37 | dmg: 10.0~18.0, OL 1.25 | ceil: 14.0
don_quixote_w_corp_ut3 (prime) | clash: 6.0~18.79 | dmg: 8.5~44.5, OL 3.0 | ceil: 32.0
faust_n_corp_ut3 (prime) | clash: 5.96~13.74 | dmg: 12.5~29.75, OL 2.0 | ceil: 16.67
rodion_n_corp_ut3 (prime) | clash: 5.92~11.13 | dmg: 11.5~22.5, OL 2.0 | ceil: 12.67
ishmael_liu_ut3 (prime) | clash: 5.85~19.18 | dmg: 11.0~42.75, OL 2.0 | ceil: 22.67
meursault_liu_ut3 (prime) | clash: 5.83~11.28 | dmg: 11.25~21.75, OL 1.0 | ceil: 14.33
heathcliff_lcb_ut3 (prime) | clash: 5.67~14.27 | dmg: 8.75~22.5, OL 0.0 | ceil: 21.0
ishmael_shi_ut3 (prime) | clash: 5.66~12.69 | dmg: 9.5~21.5, OL 1.0 | ceil: 14.33
outis_lcb_ut3 (prime) | clash: 5.52~13.47 | dmg: 7.75~20.25, OL 2.0 | ceil: 20.67
hong_lu_kurokumo_ut3 (prime) | clash: 5.52~11.9 | dmg: 15.5~40.25, OL 0.0 | ceil: 13.0
hong_lu_liu_ut3 (prime) | clash: 5.51~11.66 | dmg: 10.0~20.5, OL 0.0 | ceil: 17.0
meursault_w_corp_ut3 (prime) | clash: 5.46~10.23 | dmg: 13.75~23.75, OL 0.0 | ceil: 11.0
sinclair_zwei_ut3 (prime) | clash: 5.39~10.55 | dmg: 8.75~15.0, OL -2.0 | ceil: 19.33
heathcliff_n_corp_ut3 (prime) | clash: 5.37~13.31 | dmg: 7.5~20.5, OL 0.0 | ceil: 16.0
ryoshu_chef_ut3 (prime) | clash: 5.36~15.68 | dmg: 9.5~34.25, OL 3.0 | ceil: 19.0
faust_l_corp_ut3 (prime) | clash: 5.3~15.36 | dmg: 8.75~27.5, OL 2.0 | ceil: 26.67
sinclair_l_corp_ut3 (prime) | clash: 5.19~12.83 | dmg: 9.75~24.5, OL 0.0 | ceil: 17.0
ryoshu_lcb_ut3 (prime) | clash: 5.18~11.56 | dmg: 8.5~19.25, OL 2.0 | ceil: 12.67
faust_w_corp_ut3 (prime) | clash: 5.17~11.32 | dmg: 10.5~21.0, OL -1.0 | ceil: 12.67
ishmael_lcb_ut3 (prime) | clash: 5.1~12.98 | dmg: 5.0~13.75, OL -1.0 | ceil: 18.67
rodion_zwei_ut3 (prime) | clash: 5.01~9.58 | dmg: 11.75~20.75, OL -2.0 | ceil: 13.33
hong_lu_lcb_ut3 (prime) | clash: 5.0~13.61 | dmg: 7.25~21.0, OL 1.0 | ceil: 17.33
sinclair_mariachi_ut3 (prime) | clash: 4.85~9.49 | dmg: 11.5~18.75, OL -3.0 | ceil: 18.0
don_quixote_n_corp_ut3 (prime) | clash: 4.73~13.83 | dmg: 6.5~20.0, OL 1.0 | ceil: 16.33
gregor_rosespanner_ut3 (prime) | clash: 4.73~13.83 | dmg: 6.5~20.0, OL 1.0 | ceil: 16.33
yi_sang_lcb_ut3 (prime) | clash: 4.7~10.43 | dmg: 9.25~18.5, OL 0.0 | ceil: 12.0
ishmael_l_corp_ut3 (prime) | clash: 4.57~13.03 | dmg: 7.5~19.0, OL -3.0 | ceil: 21.0
ishmael_lccb_ut3 (prime) | clash: 4.37~11.28 | dmg: 11.0~26.5, OL -1.0 | ceil: 12.67
gregor_lcb_ut3 (prime) | clash: 4.15~11.98 | dmg: 5.25~15.0, OL -1.0 | ceil: 13.67
rodion_lcb_ut3 (prime) | clash: 4.09~10.87 | dmg: 7.75~20.5, OL 0.0 | ceil: 12.0
faust_lcb_ut3 (prime) | clash: 4.03~10.0 | dmg: 7.75~17.0, OL -2.0 | ceil: 11.33
meursault_lcb_ut3 (prime) | clash: 3.45~9.66 | dmg: 7.5~17.0, OL -3.0 | ceil: 12.0
