sinclair_n_corp_ut3 (expected) | clash: 13.62~18.83 | dmg: 20.5~58.5, OL 4.0 | ceil: 31.67
gregor_chef_ut3 (expected) | clash: 6.05~11.37 | dmg: 10.0~18.0, OL 1.25 | ceil: 14.0
meursault_lcb_ut3 (expected) | clash: 3.45~9.66 | dmg: 7.5~17.0, OL -3.0 | ceil: 12.0
rodion_kurokumo_ut3 (expected) | clash: 7.16~14.75 | dmg: 9.0~19.0, OL 2.0 | ceil: 23.67
outis_blade_ut3 (expected) | clash: 5.84~12.47 | dmg: 9.0~19.5, OL 1.0 | ceil: 14.33
rodion_lcb_ut3 (expected) | clash: 3.84~10.62 | dmg: 6.75~19.5, OL 0.0 | ceil: 12.0
yi_sang_blade_ut3 (expected) | clash: 8.63~11.51 | dmg: 14.25~18.75, OL 5.0 | ceil: 12.67
ryoshu_lcb_ut3 (expected) | clash: 5.18~11.56 | dmg: 8.5~19.25, OL 2.0 | ceil: 12.67
ishmael_l_corp_ut3 (expected) | clash: 4.57~13.03 | dmg: 7.5~19.0, OL -3.0 | ceil: 21.0
yi_sang_seven_ut3 (expected) | clash: 5.18~10.22 | dmg: 9.75~18.75, OL 0.0 | ceil: 14.0
yi_sang_lcb_ut3 (expected) | clash: 4.7~10.43 | dmg: 9.25~18.5, OL 0.0 | ceil: 12.0
faust_lcb_ut3 (expected) | clash: 4.03~10.0 | dmg: 7.75~17.0, OL -2.0 | ceil: 11.33
heathcliff_shi_ut3 (expected) | clash: 5.63~14.11 | dmg: 6.0~17.0, OL 1.0 | ceil: 17.33
rodion_lccb_ut3 (expected) | clash: 7.38~11.36 | dmg: 10.5~16.5, OL 4.0 | ceil: 16.33
don_quixote_lcb_ut3 (expected) | clash: 4.38~12.39 | dmg: 5.0~16.25, OL 1.0 | ceil: 14.33
outis_g_corp_ut3 (expected) | clash: 5.19~14.64 | dmg: 5.0~15.5, OL -1.0 | ceil: 21.67
sinclair_zwei_ut3 (expected) | clash: 5.39~10.55 | dmg: 8.75~15.0, OL -2.0 | ceil: 19.33
gregor_lcb_ut3 (expected) | clash: 4.15~11.98 | dmg: 5.25~15.0, OL -1.0 | ceil: 13.67
ishmael_lcb_ut3 (expected) | clash: 5.1~12.98 | dmg: 5.0~13.75, OL -1.0 | ceil: 18.67
