hong_lu_tingtang_ut4 (adverse) | clash: 6.2~17.85 | dmg: 6.33~24.5, OL 3.0 | ceil: 31.0
gregor_lcb_ut4 (adverse) | clash: 4.77~12.09 | dmg: 5.67~14.5, OL -1.0 | ceil: 14.67
sinclair_lcb_ut4 (adverse) | clash: 5.66~11.82 | dmg: 8.5~19.0, OL 3.0 | ceil: 15.0
sinclair_l_corp_ut4 (adverse) | clash: 5.21~11.8 | dmg: 8.17~19.67, OL 0.0 | ceil: 17.0
outis_blade_ut4 (adverse) | clash: 5.44~11.65 | dmg: 7.33~16.33, OL 1.0 | ceil: 14.33
hong_lu_kurokumo_ut4 (adverse) | clash: 5.29~11.65 | dmg: 8.83~18.33, OL 0.0 | ceil: 13.0
rodion_n_corp_ut4 (adverse) | clash: 5.7~11.51 | dmg: 9.67~21.0, OL 3.0 | ceil: 13.0
rodion_lccb_ut4 (adverse) | clash: 7.58~11.45 | dmg: 8.83~13.83, OL 5.0 | ceil: 12.67
meursault_rosespanner_ut4 (adverse) | clash: 5.15~11.32 | dmg: 8.0~18.33, OL 1.0 | ceil: 13.33
hong_lu_liu_ut4 (adverse) | clash: 4.87~11.31 | dmg: 8.67~19.67, OL 0.0 | ceil: 17.0
yi_sang_lcb_ut4 (adverse) | clash: 4.79~11.15 | dmg: 7.67~17.17, OL 0.0 | ceil: 12.0
rodion_lcb_ut4 (adverse) | clash: 4.51~11.13 | dmg: 7.33~18.17, OL 0.0 | ceil: 12.0
meursault_lcb_ut4 (adverse) | clash: 3.75~11.09 | dmg: 7.67~20.0, OL -3.0 | ceil: 14.0
gregor_liu_ut4 (adverse) | clash: 6.47~11.08 | dmg: 11.67~22.0, OL 5.0 | ceil: 13.67
meursault_w_corp_ut4 (adverse) | clash: 5.48~11.03 | dmg: 10.83~21.17, OL 0.0 | ceil: 13.0
meursault_liu_ut4 (adverse) | clash: 5.48~11.03 | dmg: 10.17~20.17, OL 1.0 | ceil: 11.33
faust_lcb_ut4 (adverse) | clash: 4.92~11.0 | dmg: 7.67~16.17, OL -1.0 | ceil: 12.67
sinclair_boat_ut3 (adverse) | clash: 3.89~10.94 | dmg: 6.67~18.67, OL 1.0 | ceil: 16.33
meursault_r_corp_ut4 (adverse) | clash: 4.68~10.83 | dmg: 10.5~21.5, OL -3.0 | ceil: 13.0
sinclair_zwei_ut4 (adverse) | clash: 4.86~10.68 | dmg: 7.17~14.33, OL -2.0 | ceil: 19.33
ishmael_lccb_ut4 (adverse) | clash: 4.23~10.64 | dmg: 8.67~21.0, OL -1.0 | ceil: 12.67
heathcliff_lcb_ut4 (adverse) | clash: 3.35~10.6 | dmg: 5.5~16.0, OL -2.0 | ceil: 15.33
gregor_chef_ut4 (adverse) | clash: 5.68~10.4 | dmg: 9.33~16.67, OL 1.5 | ceil: 14.0
heathcliff_sunshower_ut4 (adverse) | clash: 7.17~10.17 | dmg: 9.5~31.33, OL 2.5 | ceil: 19.0
meursault_n_corp_ut4 (adverse) | clash: 6.12~9.64 | dmg: 11.67~17.67, OL 0.0 | ceil: 14.0
rodion_zwei_ut4 (adverse) | clash: 4.6~9.56 | dmg: 10.5~19.5, OL -2.0 | ceil: 13.33
sinclair_mariachi_ut4 (adverse) | clash: 4.33~8.6 | dmg: 10.33~17.17, OL -3.0 | ceil: 18.0
