s3 sinclair_n_corp_ut4 | self_destructive_purge | clash: 22.3~33.66 | dmg: 28~96, OL 5 | ceil: 33.67
s2 meursault_w_corp_ut4 | energy_cycle | clash: 5.82~13.57 | dmg: 15~33, OL 0 | ceil: 14.0
s2 meursault_lcb_ut4 | nailing_fist | clash: 5.45~13.55 | dmg: 6~15, OL -3 | ceil: 14.0
s1 hong_lu_k_corp_ut4 | impede_the_intruder | clash: 5.45~13.55 | dmg: 5~14, OL 0 | ceil: 14.0
s1 sinclair_blade_ut4 | slice_then_stab | clash: 8.1~13.37 | dmg: 14~23, OL 2 | ceil: 13.67
s2 faust_w_corp_ut4 | leap | clash: 6.25~13.28 | dmg: 12~24, OL -1 | ceil: 13.67
s3 gregor_lcb_ut4 | chop_up | clash: 6.25~13.28 | dmg: 12~24, OL -1 | ceil: 13.67
s2 outis_lcb_ut4 | backslash | clash: 6.25~13.28 | dmg: 10~22, OL 2 | ceil: 13.67
s1 gregor_g_corp_ut4 | hack | clash: 6.25~13.28 | dmg: 8~20, OL 5 | ceil: 13.67
s2 rodion_lccb_ut4 | thrust | clash: 7.77~13.04 | dmg: 12~21, OL 4 | ceil: 13.33
s1 don_quixote_lcb_ut4 | joust | clash: 6.68~12.98 | dmg: 6~13, OL 1 | ceil: 13.33
s2 rodion_zwei_ut4 | focused_defense | clash: 5.91~12.94 | dmg: 12~24, OL -2 | ceil: 13.33
s2 ishmael_shi_ut4 | flashing_slide | clash: 5.91~12.94 | dmg: 10~22, OL 1 | ceil: 13.33
s2 outis_blade_ut4 | acupuncture | clash: 5.91~12.94 | dmg: 10~22, OL 1 | ceil: 13.33
s1 meursault_rosespanner_ut4 | saddled_tasks | clash: 5.73~12.93 | dmg: 4~12, OL 1 | ceil: 13.33
s1 outis_blade_ut4 | draw_of_the_sword | clash: 4.78~12.88 | dmg: 4~13, OL 1 | ceil: 13.33
s3 hong_lu_kurokumo_ut4 | cloudburst | clash: 7.55~12.71 | dmg: 21~33, OL 0 | ceil: 13.0
s2 rodion_rosespanner_ut4 | vibration_compression | clash: 7.44~12.71 | dmg: 24~54, OL 3 | ceil: 13.0
s3 rodion_lcb_ut4 | slay | clash: 5.85~12.63 | dmg: 20~40, OL 0 | ceil: 13.0
s2 hong_lu_kurokumo_ut4 | cloud_cutter | clash: 5.58~12.61 | dmg: 20~60, OL 0 | ceil: 13.0
s2 meursault_r_corp_ut4 | demolish | clash: 4.82~12.57 | dmg: 15~33, OL -3 | ceil: 13.0
s2 sinclair_l_corp_ut4 | proliferating_talismans | clash: 4.82~12.57 | dmg: 12~30, OL 0 | ceil: 13.0
s2 sinclair_mariachi_ut4 | danza_de_pasion | clash: 4.82~12.57 | dmg: 15~33, OL -3 | ceil: 13.0
s3 faust_n_corp_ut4 | execution | clash: 7.22~12.38 | dmg: 18~30, OL 2 | ceil: 12.67
s1 heathcliff_r_corp_ut4 | graze_the_grass | clash: 7.22~12.38 | dmg: 15~27, OL 5 | ceil: 12.67
s1 sinclair_lcb_ut4 | downward_swing | clash: 6.02~12.32 | dmg: 5~12, OL 2 | ceil: 12.67
s3 rodion_n_corp_ut4 | ironclad_retribution | clash: 5.52~12.29 | dmg: 16~36, OL 2 | ceil: 12.67
s1 outis_g_corp_ut4 | order | clash: 5.07~12.27 | dmg: 5~13, OL -1 | ceil: 12.67
s2 ishmael_lccb_ut4 | quake_rounds | clash: 4.49~12.24 | dmg: 12~30, OL -1 | ceil: 12.67
s1 gregor_liu_ut4 | single_point_stab | clash: 6.77~12.04 | dmg: 10~19, OL 4 | ceil: 12.33
s1 heathcliff_shi_ut4 | extreme_edge | clash: 6.63~12.03 | dmg: 6~12, OL 1 | ceil: 12.33
s2 faust_lcb_ut4 | upward_slash | clash: 4.91~11.94 | dmg: 10~22, OL -2 | ceil: 12.33
s1 outis_seven_ut4 | predictive_analysis | clash: 8.2~11.8 | dmg: 6~10, OL 0 | ceil: 12.0
s3 yi_sang_lcb_ut4 | enjamb | clash: 6.55~11.71 | dmg: 18~30, OL 0 | ceil: 12.0
s2 meursault_n_corp_ut4 | you_are_cleansed_of_sin | clash: 6.44~11.71 | dmg: 12~21, OL 0 | ceil: 12.0
s1 ryoshu_kurokumo_ut4 | focus_strike | clash: 6.3~11.7 | dmg: 5~11, OL 3 | ceil: 12.0
s1 don_quixote_shi_ut4 | catch_breath | clash: 5.35~11.65 | dmg: 4~11, OL 3 | ceil: 12.0
s2 ishmael_l_corp_ut4 | its_churning | clash: 4.58~11.61 | dmg: 10~22, OL -3 | ceil: 12.0
s2 rodion_lcb_ut4 | axe_combo | clash: 4.58~11.61 | dmg: 8~20, OL 0 | ceil: 12.0
s2 yi_sang_lcb_ut4 | end_stop_stab | clash: 4.58~11.61 | dmg: 8~20, OL 0 | ceil: 12.0
s1 heathcliff_n_corp_ut4 | gawky_nailing | clash: 4.58~11.61 | dmg: 8~20, OL 0 | ceil: 12.0
s2 sinclair_lcb_ut4 | halberd_combo | clash: 6.22~11.38 | dmg: 15~27, OL 2 | ceil: 11.67
s1 rodion_kurokumo_ut4 | sharp_edge | clash: 5.97~11.37 | dmg: 5~14, OL 2 | ceil: 11.67
s1 ishmael_lccb_ut4 | shove | clash: 5.97~11.37 | dmg: 6~12, OL -1 | ceil: 11.67
s1 ryoshu_lcb_ut4 | paint | clash: 5.02~11.32 | dmg: 4~11, OL 2 | ceil: 11.67
s1 rodion_n_corp_ut4 | devoted_hammering | clash: 4.25~11.28 | dmg: 6~18, OL 2 | ceil: 11.67
s1 faust_w_corp_ut4 | energy_cycle | clash: 4.07~11.27 | dmg: 4~12, OL -1 | ceil: 11.67
s1 faust_l_corp_ut4 | sole_strike | clash: 4.07~11.27 | dmg: 3~11, OL 2 | ceil: 11.67
s2 meursault_liu_ut4 | stalwart_stance | clash: 7.62~11.14 | dmg: 14~20, OL 1 | ceil: 11.33
s1 sinclair_n_corp_ut4 | coerced_judgement | clash: 9.1~10.99 | dmg: 14~20, OL 3 | ceil: 11.0
s1 hong_lu_lcb_ut4 | downward_cleave | clash: 4.68~10.98 | dmg: 4~11, OL 1 | ceil: 11.33
s2 heathcliff_lcb_ut4 | smackdown | clash: 3.91~10.94 | dmg: 8~20, OL -2 | ceil: 11.33
s1 don_quixote_n_corp_ut4 | rightful_purge | clash: 3.91~10.94 | dmg: 6~18, OL 1 | ceil: 11.33
s1 gregor_rosespanner_ut4 | rev_up | clash: 3.91~10.94 | dmg: 6~18, OL 1 | ceil: 11.33
s1 ishmael_shi_ut4 | flying_sword | clash: 3.91~10.94 | dmg: 6~18, OL 1 | ceil: 11.33
s1 meursault_liu_ut4 | assault | clash: 3.91~10.94 | dmg: 6~18, OL 1 | ceil: 11.33
s1 ishmael_boat_ut4 | ready_to_crush | clash: 5.44~10.71 | dmg: 8~17, OL 3 | ceil: 11.0
s1 rodion_rosespanner_ut4 | rev_up | clash: 5.44~10.71 | dmg: 8~17, OL 3 | ceil: 11.0
s1 ryoshu_chef_ut4 | cooking_prep | clash: 5.44~10.71 | dmg: 8~17, OL 3 | ceil: 11.0
s1 meursault_n_corp_ut4 | drive | clash: 5.44~10.71 | dmg: 10~19, OL 0 | ceil: 11.0
s1 meursault_r_corp_ut4 | weighty_bash | clash: 5.3~10.7 | dmg: 6~12, OL -3 | ceil: 11.0
s1 meursault_w_corp_ut4 | rip | clash: 5.3~10.7 | dmg: 5~11, OL 0 | ceil: 11.0
s1 hong_lu_kurokumo_ut4 | hack | clash: 4.35~10.65 | dmg: 4~11, OL 0 | ceil: 11.0
s1 rodion_lcb_ut4 | strike_down | clash: 4.35~10.65 | dmg: 4~11, OL 0 | ceil: 11.0
s1 yi_sang_lcb_ut4 | deflect | clash: 4.35~10.65 | dmg: 4~11, OL 0 | ceil: 11.0
s3 meursault_lcb_ut4 | des_coups | clash: 3.85~10.63 | dmg: 16~36, OL -3 | ceil: 11.0
s1 hong_lu_liu_ut4 | warm_up | clash: 3.58~10.61 | dmg: 6~18, OL 0 | ceil: 11.0
s2 rodion_n_corp_ut4 | zealous_purge | clash: 6.96~10.47 | dmg: 12~18, OL 2 | ceil: 10.67
s1 faust_n_corp_ut4 | cackle | clash: 5.1~10.37 | dmg: 8~17, OL 2 | ceil: 10.67
s1 gregor_lcb_ut4 | swipe | clash: 4.02~10.32 | dmg: 4~11, OL -1 | ceil: 10.67
s1 ishmael_lcb_ut4 | loggerhead | clash: 4.02~10.32 | dmg: 4~11, OL -1 | ceil: 10.67
s3 faust_lcb_ut4 | drilling_stab | clash: 6.62~10.14 | dmg: 14~20, OL -2 | ceil: 10.33
s1 faust_lcb_ut4 | downward_slash | clash: 3.68~9.98 | dmg: 4~11, OL -2 | ceil: 10.33
s1 sinclair_l_corp_ut4 | magnify_wound | clash: 5.25~9.75 | dmg: 5~10, OL 0 | ceil: 10.0
s1 yi_sang_spicebush_ut4 | sprouting_bud | clash: 4.55~9.71 | dmg: 9~21, OL 3 | ceil: 10.0
s1 meursault_lcb_ut4 | un_deux | clash: 2.58~9.61 | dmg: 6~18, OL -3 | ceil: 10.0
s1 outis_lcb_ut4 | pulled_blade | clash: 4.22~9.38 | dmg: 9~21, OL 2 | ceil: 9.67
s2 sinclair_zwei_ut4 | suppress | clash: 5.62~9.14 | dmg: 12~18, OL -2 | ceil: 9.33
s1 sinclair_zwei_ut4 | baton | clash: 3.63~9.03 | dmg: 4~10, OL -2 | ceil: 9.33
s1 heathcliff_lcb_ut4 | bat_bash | clash: 2.68~8.98 | dmg: 3~10, OL -2 | ceil: 9.33
s1 sinclair_mariachi_ut4 | baile_y_rola | clash: 3.44~8.71 | dmg: 8~17, OL -3 | ceil: 9.0
s1 ishmael_l_corp_ut4 | its_heavy | clash: 3.3~8.7 | dmg: 4~10, OL -3 | ceil: 9.0
s1 gregor_chef_ut4 | keep_it_fresh | clash: 4.96~8.47 | dmg: 8~14, OL 2 | ceil: 8.67
s1 rodion_zwei_ut4 | careful_obstruction | clash: 3.62~7.14 | dmg: 8~14, OL -2 | ceil: 7.33
s1 heathcliff_sunshower_ut4 | umbrella_thwack | clash: 4.77~6.67 | dmg: 6~18, OL 2 | ceil: 6.67
